id,title,body,department,sentiment
48a6bd34-aa70-48b6-b7a7-85c220fdc016,Pulizia eccellente,"Lenzuola fresche e profumate, ottima pulizia.",Housekeeping,positive
c3626699-b138-4e2b-9d51-cc5929ac5515,Check-in veloce,Check-in rapido e staff gentile e disponibile.,Reception,positive
7a0ceac5-62c8-4df3-b8fe-4c9338903a70,Ottimo,Reception cordiale.,Reception,positive
4cda9536-e700-4fd1-b558-c38a420b3dff,Menù vario e gustoso,Menù molto vario e soddisfacente. Che buono.,F&B,positive
d9d6585d-5bbf-4cf0-8205-cc33c2618a28,Pulizia eccellente,"Lenzuola fresche e profumate, ottima pulizia.",Housekeeping,positive
4e204009-14d8-4552-9885-0cb309d228e1,Esperienza culinaria perfetta,"Ottima esperienza culinaria, tutto delizioso.",F&B,positive
d450547a-0955-4486-a1e7-bc8b57b74894,Problemi al check-in,Check-in molto disorganizzato e caotico.,Reception,negative
f77e7e03-a05c-44fa-a118-2c9d68191cd9,Problemi al check-in,Check-in molto disorganizzato e caotico.,Reception,negative
d924d8d6-9f3b-45a4-9285-3aeb40713739,Cena deliziosa,Cena ottima e servizio rapido.,F&B,positive
e0a2ae43-e927-4797-b0ab-324a6bc74934,Scarsa pulizia,"Stanza sporca, polvere ovunque e cattivo odore.",Housekeeping,negative
9875f899-758a-45a7-b1cf-7f49ffc8eac8,Menù vario e gustoso,Menù molto vario e soddisfacente. Che buono.,F&B,positive
00533b1b-5035-4252-8962-58151f4613a3,Discreto soggiorno,Pulizia buona ma mancavano gli asciugamani. Staff cortese.,Housekeeping,positive
d9174519-b921-4736-9103-81956c60bfd0,Che schifo!,Tutto sporco. Veramente deludente.,Housekeeping,negative
65365d57-2c18-4811-a4e6-501ccacb186c,Esperienza positiva,"Reception efficiente, check-out senza attese.",Reception,positive
c7baf83e-e004-4865-8618-e0830b0dea6c,Menù vario e gustoso,Menù molto vario e soddisfacente. Che buono.,F&B,positive
d5660e32-55ab-458e-83ce-b5130a32566f,Esperienza negativa,Servizio lento e confusionario alla reception.,Reception,negative
6f0a9145-8994-456e-bc21-e52ece37d6c6,Servizio eccellente,"Personale cortese, molto professionale.",Reception,positive
b8258ede-d5cb-4f8c-84ba-374c2c34a55b,Servizio impeccabile,Cibo di qualità e servizio impeccabile. A pranzo era sempre tutto fantastico,F&B,positive
7d1d7bfd-8d98-46a6-8cbb-05444368bbe4,Cibo senza sapore,Cibo freddo e senza sapore. Pessimo.,F&B,negative
61f49ee6-5398-4a8a-8b4c-f7391db505bb,Bagno sporco,Bagno maleodorante e non pulito. Orrendo!,Housekeeping,negative
2a390174-a612-41fb-b709-347020008bb5,Colazione deludente,Colazione scarsa e poco varia. Pranzo e cena ancora peggio.,F&B,negative
a52c2727-8ef5-44d4-bb61-2d47b199a412,Maleducazione del personale,Reception inefficiente e mal organizzata. Ci abbiamo messo ore per entrare in camera.,Reception,negative
403ab11f-20c9-45ca-8652-6e8913c4dfbf,Check-in veloce,Check-in rapido e staff gentile e disponibile.,Reception,positive
73fece25-2b3a-4277-8d0f-4683b9559a44,Personale disponibile,Aiuto immediato per ogni richiesta.,Reception,positive
fcb4d74c-9e3c-4caa-a6cd-302ccd044f2a,Esperienza negativa,Servizio lento e confusionario alla reception.,Reception,negative
e3787d1b-0a89-4a4f-9807-0cc0515d7c13,Reception impeccabile,"Servizio rapido e preciso, ottima esperienza! Torneremo volentieri.",Reception,positive
65495fb6-9a62-4b80-989a-ad1ea579ba25,Esperienza culinaria negativa,Cibo poco appetibile e mal presentato. Bleah,F&B,negative
a1884321-7b5d-4937-8def-25bb49ded21e,Servizio eccellente,"Personale cortese, molto professionale.",Reception,positive
47b41315-5eb8-41c0-85a7-6cf4b2fce2c4,Reception impeccabile,"Servizio rapido e preciso, ottima esperienza! Torneremo volentieri.",Reception,positive
8be40726-4745-49bd-bc95-0a977b18811a,Pulizia buona,"Tutto pulito, ottimo.",Housekeeping,positive
d6a21811-6262-458a-809b-8e40e7f079c2,Esperienza positiva,"Reception efficiente, check-out senza attese.",Reception,positive
78370cba-d302-4a44-98f8-459a5b129795,Camera perfettamente curata,"Camera pulita e ordinata, con tutti i comfort. Torneremo volentieri.",Housekeeping,positive
ef68dd3f-f14d-45cc-a0de-360e67b63877,Pulizie superficiali,"Pulizie superficiali, niente è a posto.",Housekeeping,negative
0fb65626-31b7-48ca-b7d2-8e14a506f610,Cibo senza sapore,Cibo freddo e senza sapore. Pessimo.,F&B,negative
109ba4b3-fe18-4472-8abd-47c106492d4a,Servizio misto,Staff accogliente ma il letto non era per niente comodo.,Housekeeping,negative
7840b993-930d-4e4b-976a-cfb7901b551d,Menù vario e gustoso,Menù molto vario e soddisfacente. Che buono.,F&B,positive
5999adbe-88cf-4696-b75b-8742b9cf5c83,Servizio eccellente,"Personale cortese, molto professionale.",Reception,positive
76edc2eb-e48b-43c5-adc7-35653fb79ea2,Servizio pulizie al top,Il personale delle pulizie è stato impeccabile.,Housekeeping,positive
c9746b3b-66b0-4ff6-b3d1-2d41ae38656b,Bagno sporco,Bagno maleodorante e non pulito. Orrendo!,Housekeeping,negative
16cdd11f-bc0f-4f6c-aaa8-5102ca984f08,Scarsa attenzione ai dettagli,Poca attenzione alla pulizia e ai dettagli.,Housekeeping,negative
b75ee24f-e86f-49eb-bae0-51666ddaac90,Scarsa attenzione ai dettagli,Poca attenzione alla pulizia e ai dettagli.,Housekeeping,negative
5a94a2d6-0d71-47ef-8a4c-980c7237b0dd,Bagno sporco,Bagno maleodorante e non pulito. Orrendo!,Housekeeping,negative
27ae65ca-35dc-4591-8e46-89719f8e4636,Bagno sporco,Bagno maleodorante e non pulito. Orrendo!,Housekeeping,negative
ce0be071-51b1-434f-be89-c456df6dca06,Cena deliziosa,Cena ottima e servizio rapido.,F&B,positive
048b445f-ced2-489d-8d7c-6ece41d0f40a,Bagno sporco,Bagno maleodorante e non pulito. Orrendo!,Housekeeping,negative
175c90db-8496-4267-96fb-965fe0ae309a,Maleducazione del personale,Reception inefficiente e mal organizzata. Ci abbiamo messo ore per entrare in camera.,Reception,negative
d5359a7c-4d94-490c-a2dc-066947efca02,Disordine all'arrivo,Stanza disordinata e sporca al mio arrivo. Non ci tornerò.,Housekeeping,negative
cbfdebd0-f940-4852-81f1-5571019fb5cf,Disordine all'arrivo,Stanza disordinata e sporca al mio arrivo. Non ci tornerò.,Housekeeping,negative
533923b1-f3e2-4aba-a448-4cab8d55a195,Check-in veloce,Check-in rapido e staff gentile e disponibile.,Reception,positive
ad4dbacb-efc5-4d10-ace4-74df84000e56,Cibo senza sapore,Cibo freddo e senza sapore. Pessimo.,F&B,negative
7d915c48-9df6-4895-a8fc-c209abd35e94,Ristorante lento,Ristorante lento e disorganizzato.,F&B,negative
f7778cb3-7d0e-4744-a5d0-73b560b2c17e,Colazione discreta,Buona scelta di prodotti ma il tavolo non era stato pulito.,F&B,negative
1043e391-8467-430b-88b9-3db8bc211236,Cena deliziosa,Cena ottima e servizio rapido.,F&B,positive
d9e96423-097b-40e3-906f-b0d13372f99e,Esperienza positiva,"Reception efficiente, check-out senza attese.",Reception,positive
8fa6fbfc-041a-479c-8a11-eb84eab2a227,Colazione eccellente,Colazione abbondante e variegata.,F&B,positive
ebda0243-61eb-40fd-9065-3a8ef7a75767,Cibo pessimo,Il cibo aveva un sapore terribile.,F&B,negative
7a79515f-ca8b-42aa-a318-77a6db131fc5,Cibo pessimo,Il cibo aveva un sapore terribile.,F&B,negative
d0ea684c-20fc-450a-ad84-13d32f560654,Pulizia eccellente,"Lenzuola fresche e profumate, ottima pulizia.",Housekeeping,positive
e3cc0857-59ab-4a8e-bd2d-699f22895894,Scarsa pulizia,"Stanza sporca, polvere ovunque e cattivo odore.",Housekeeping,negative
4c235cb0-73c8-47ad-b088-ff2978db9491,Staff poco professionale,Staff poco professionale e scortese. Maleducati.,Reception,negative
1ee2cecc-f85e-47c8-9f9a-9caeae193483,Bagno sporco,Bagno maleodorante e non pulito. Orrendo!,Housekeeping,negative
f146e27f-85e1-4332-96a2-000f88967ac1,Esperienza positiva,"Reception efficiente, check-out senza attese.",Reception,positive
2759c610-885f-4be0-80c9-8ce540f25895,Cibo pessimo,Il cibo aveva un sapore terribile.,F&B,negative
b36fcf0a-4f15-49da-a0d0-1b58de3db406,Accoglienza così così,Personale cordiale ma attesa lunga al check-in.,Reception,negative
0018605a-fe53-409b-832e-894c7823b38c,Servizio eccellente,"Personale cortese, molto professionale.",Reception,positive
2d3fc625-d314-404b-995d-50b30a0b3d6a,Cibo pessimo,Il cibo aveva un sapore terribile.,F&B,negative
632ec2a4-3732-4707-84c1-7913a4274fb1,Cibo senza sapore,Cibo freddo e senza sapore. Pessimo.,F&B,negative
138a5c89-71bd-4f86-89c8-9af2e75f0f5b,Stanza confortevole,"Stanza confortevole, perfettamente curata.",Housekeeping,positive
d3cd70f4-270d-4201-8d40-d495204ef7ae,Problemi al check-in,Check-in molto disorganizzato e caotico.,Reception,negative
9837b898-19cd-40d9-84d2-7dbedb9ab3b1,Il cibo era squisito,Il cibo era squisito e ben presentato.,F&B,positive
51a72f40-c735-4e52-b21d-24b7e19444c4,Maleducazione del personale,Reception inefficiente e mal organizzata. Ci abbiamo messo ore per entrare in camera.,Reception,negative
ebef6c05-51a5-43c2-8d8e-d149bd5e5d8b,Esperienza negativa,Non tornerò per la scarsa pulizia. Mi sono trovato malissimo.,Housekeeping,negative
ddf9e45c-3dad-46ab-b2c7-9e1d06aec116,Reception lenta,"Reception lenta e scortese, check-in lungo.",Reception,negative
298236b1-a22e-4d46-8d81-ad35805b3058,Esperienza negativa,Non tornerò per la scarsa pulizia. Mi sono trovato malissimo.,Housekeeping,negative
1a37c94e-1398-41c6-a1f3-4ca3b79509ee,Esperienza negativa,Servizio lento e confusionario alla reception.,Reception,negative
646bfff7-e2f2-4b38-b507-8f971fe069a4,Pessima cucina,"Servizio confuso e disorganizzato, non consiglierei questo posto.",F&B,negative
28a6bfd4-8c92-455d-9e8d-0bd0c44cf6e7,Pulizia buona,"Tutto pulito, ottimo.",Housekeeping,positive
dcb2b6f0-50cc-4f92-a354-3e4cf7135433,Staff del ristorante cordiale,Staff del ristorante cordiale e professionale.,F&B,positive
f7642b88-7955-4bc9-9027-f09ee9dad4ea,Cibo pessimo,Il cibo aveva un sapore terribile.,F&B,negative
9758a56c-c2cc-4ea2-8950-5c2b3e5b8ba1,Servizio pulizie al top,Il personale delle pulizie è stato impeccabile.,Housekeeping,positive
d4b22a08-826f-4deb-b5f0-75a22bdf49c1,Ottimo,Reception cordiale.,Reception,positive
8165f9ac-a1d5-4655-a6d6-b52fca7b3092,Cibo senza sapore,Cibo freddo e senza sapore. Pessimo.,F&B,negative
0c440c97-aa3b-48d9-abc3-e49ff5ebafd7,Ottimo,Reception cordiale.,Reception,positive
9b7fa872-8bb5-4d56-851d-5a7096bf7b72,Esperienza positiva,"Reception efficiente, check-out senza attese.",Reception,positive
ef7c6c89-36a2-4da7-82e8-353ee9016ffa,Staff accogliente,Reception sempre pronta ad aiutare con un sorriso.,Reception,positive
4dd6aac0-eee5-4aeb-810e-1d6a7dfea395,Disordine all'arrivo,Stanza disordinata e sporca al mio arrivo. Non ci tornerò.,Housekeeping,negative
64133011-ea0e-47e7-8bdc-99a190650576,Cibo senza sapore,Cibo freddo e senza sapore. Pessimo.,F&B,negative
42e26a4a-366d-4ee3-a265-14f8dcde6844,Scarsa attenzione ai dettagli,Poca attenzione alla pulizia e ai dettagli.,Housekeeping,negative
3dc68e05-6b5c-4a46-84f2-c110c53d0125,Stanza confortevole,"Stanza confortevole, perfettamente curata.",Housekeeping,positive
2fe8af5f-d5f3-41be-8464-5a7c2b831736,Pulizia impeccabile,"Bagno sempre impeccabile, tutto a posto.",Housekeeping,positive
bcf133f4-c4d4-4f69-b1c4-e6824f9eeef1,Tutto normale,Camera tranquilla ma la polvere sui mobili era evidente.,Housekeeping,negative
9d9dc91e-ca91-41cf-8b2b-b261cf5d29bb,Reception oscena,Tempi di attesa lunghissimi e personale arrogante.,Reception,negative
2f71f372-5ed4-4c43-be0b-2bd16ffa6ed2,Personale disponibile,Aiuto immediato per ogni richiesta.,Reception,positive
727260d1-eb55-411c-93af-5b14923440a2,Pulizia impeccabile,"Bagno sempre impeccabile, tutto a posto.",Housekeeping,positive
cf24aa26-7b16-4606-a6a7-8e7b2911c056,Pessima cucina,"Servizio confuso e disorganizzato, non consiglierei questo posto.",F&B,negative
ca5e0591-723b-4ef1-bd67-4f0e244d6ded,Qualità bassa,Poca scelta e qualità bassa.,F&B,negative
ce72cfac-44df-4ed0-be36-782097a09ed2,Cena deliziosa,Cena ottima e servizio rapido.,F&B,positive
be70c151-d67f-46c5-af37-179a14baedf5,Check-in e colazione,"Arrivati tardi, il check-in è stato rapido ma la colazione era già finita.",Reception,positive
ac4264a7-a56d-48af-adb3-be55a2582fb2,Qualità bassa,Poca scelta e qualità bassa.,F&B,negative
d2636ee3-015e-4822-b1b5-026d4a736465,Tutto sommato bene,"Reception gentile, anche se la stanza era un po' fredda.",Reception,positive
0486c001-9dbf-4b6a-a191-c33b72bb8be1,Pulizie quotidiane perfette,Pulizie quotidiane accurate e precise.,Housekeeping,positive
c9b0c950-847d-4b63-b66a-e605fd888b1e,Esperienza negativa,Servizio lento e confusionario alla reception.,Reception,negative
d63cbc85-ca96-4040-b921-2bd6e069f1be,Pulizie quotidiane perfette,Pulizie quotidiane accurate e precise.,Housekeeping,positive
f6f2617b-b4a0-4806-b3c3-79002b545023,Esperienza culinaria negativa,Cibo poco appetibile e mal presentato. Bleah,F&B,negative
4208f259-9b9c-4b22-90f0-163320b1bc2d,Scarsa pulizia,"Stanza sporca, polvere ovunque e cattivo odore.",Housekeeping,negative
313853ef-02a4-42e7-93c7-fb21ab23782a,Esperienza positiva,"Reception efficiente, check-out senza attese.",Reception,positive
32eae17f-9dd3-4447-a1eb-2f5fc96a7520,Servizio scadente,Esperienza deludente con lo staff della reception. Non lo consiglierei.,Reception,negative
39f410fe-caf0-431b-825b-a02470566b47,Esperienza culinaria negativa,Cibo poco appetibile e mal presentato. Bleah,F&B,negative
7f17190a-15db-44c5-98e7-91cec4edd70c,Pulizia buona,"Tutto pulito, ottimo.",Housekeeping,positive
4d828a5a-956e-4709-91b1-49d3916f2bf4,Colazione eccellente,Colazione abbondante e variegata.,F&B,positive
6286fd88-762d-487a-a746-c2e6e8ea7168,Che schifo!,Tutto sporco. Veramente deludente.,Housekeeping,negative
2f42d80b-ab2b-4c20-92ac-b37a35a6699f,Pulizie superficiali,"Pulizie superficiali, niente è a posto.",Housekeeping,negative
59552d34-d445-41d9-ae5a-0879f7636229,Staff poco professionale,Staff poco professionale e scortese. Maleducati.,Reception,negative
1ae3e395-e140-4773-aab6-8beb5a12a209,Problemi al check-in,Check-in molto disorganizzato e caotico.,Reception,negative
5a52c50e-90b5-4a79-908e-fcdea121c520,Maleducazione del personale,Reception inefficiente e mal organizzata. Ci abbiamo messo ore per entrare in camera.,Reception,negative
4623e96b-ab1c-49fe-b585-753f91fff0e8,Maleducazione del personale,Reception inefficiente e mal organizzata. Ci abbiamo messo ore per entrare in camera.,Reception,negative
1be585ef-a756-4718-b05e-01120711aec2,Check-in veloce,Check-in rapido e staff gentile e disponibile.,Reception,positive
1c1bfb4b-e535-463f-8ae1-5c92a07d1fa7,Reception lenta,"Reception lenta e scortese, check-in lungo.",Reception,negative
ff4a7caa-cacf-447f-8fd6-f4d855db35a1,Colazione eccellente,Colazione abbondante e variegata.,F&B,positive
d88a0d4d-0179-41ee-b810-46bb16ae71ae,Stanza confortevole,"Stanza confortevole, perfettamente curata.",Housekeeping,positive
8c4fe06f-1f96-4dba-b27e-bdfd7f45ab52,Esperienza contrastante,"Pulizia ottima, ma il ristorante chiudeva troppo presto.",F&B,positive
30da6bcb-2c85-464c-b58f-6ce2d3892e70,Reception lenta,"Reception lenta e scortese, check-in lungo.",Reception,negative
a1183a2a-f876-432b-b5b7-8f2a9aedf146,Qualità bassa,Poca scelta e qualità bassa.,F&B,negative
81d89c03-35ff-4673-9cde-d9207ac59bac,Cena deliziosa,Cena ottima e servizio rapido.,F&B,positive
1a421005-167e-45f1-8d39-45405cab9902,Niente di speciale,Camera ordinata ma il pavimento era molto sporco.,Housekeeping,negative
c4bf8167-3881-4a3e-9798-294e08d57be6,Cena deliziosa,Cena ottima e servizio rapido.,F&B,positive
0b8125ff-95cc-4c91-b19f-ee67f796cdcf,Pessima cucina,"Servizio confuso e disorganizzato, non consiglierei questo posto.",F&B,negative
671dd5ad-f105-47f3-bcb7-68b1c8878ca8,Bagno sporco,Bagno maleodorante e non pulito. Orrendo!,Housekeeping,negative
efab8c4d-77ad-404e-9fc1-f54c5069f0e0,Problemi al check-in,Check-in molto disorganizzato e caotico.,Reception,negative
a399b225-4ea1-46e1-b311-7161ca73a89a,Servizio scadente,Esperienza deludente con lo staff della reception. Non lo consiglierei.,Reception,negative
a087cf78-059d-4d2e-9458-898e0de4ab9a,Qualità bassa,Poca scelta e qualità bassa.,F&B,negative
25835cd9-aca7-40be-a9e9-3a309118c9d6,Staff del ristorante cordiale,Staff del ristorante cordiale e professionale.,F&B,positive
5144b175-0228-47d1-8ab4-a41545531041,Pulizia buona,"Tutto pulito, ottimo.",Housekeeping,positive
a71b4ac1-755e-4c08-a50b-981fd1ed1393,Servizio impeccabile,Cibo di qualità e servizio impeccabile. A pranzo era sempre tutto fantastico,F&B,positive
d0965d2a-8694-4307-9316-efd8ede1f301,Servizio impeccabile,Cibo di qualità e servizio impeccabile. A pranzo era sempre tutto fantastico,F&B,positive
6972dc00-c072-40d1-b45b-ce9fd57282b4,Cibo senza sapore,Cibo freddo e senza sapore. Pessimo.,F&B,negative
9fdfc60d-dc4c-4ee8-9d97-0aae19c297d4,Colazione eccellente,Colazione abbondante e variegata.,F&B,positive
c532c448-f5bd-4ddd-9194-8a443a44d147,Reception lenta,"Reception lenta e scortese, check-in lungo.",Reception,negative
cb6f39cb-6cba-4056-9cc7-d48a466c9364,Ristorante lento,Ristorante lento e disorganizzato.,F&B,negative
2e774cf2-11f2-447a-8b33-11620d4d2cd8,Reception oscena,Tempi di attesa lunghissimi e personale arrogante.,Reception,negative
536481f6-8788-43d7-89f3-96bfce5e523d,Pulizie quotidiane perfette,Pulizie quotidiane accurate e precise.,Housekeeping,positive
05f40689-ad1a-4ad3-bd8e-c541fd0f2268,Esperienza culinaria negativa,Cibo poco appetibile e mal presentato. Bleah,F&B,negative
fd56d55f-cdca-4f17-9f75-fd83a19c8de9,Staff del ristorante cordiale,Staff del ristorante cordiale e professionale.,F&B,positive
b0c75fc2-16fe-43d2-a063-16757865ed83,Stanza confortevole,"Stanza confortevole, perfettamente curata.",Housekeeping,positive
80d268bf-ba5a-4515-a717-a43bd3668e0e,Servizio scadente,Esperienza deludente con lo staff della reception. Non lo consiglierei.,Reception,negative
3c04ce69-c948-413b-9200-2955197251c9,Pulizie superficiali,"Pulizie superficiali, niente è a posto.",Housekeeping,negative
6a1d6508-a622-41a4-a3d1-df486247d255,Scarsa pulizia,"Stanza sporca, polvere ovunque e cattivo odore.",Housekeeping,negative
7b0d93a2-ce8d-48ef-a1dd-8f3aaaccd02b,Esperienza culinaria perfetta,"Ottima esperienza culinaria, tutto delizioso.",F&B,positive
18b2cb7c-3dfa-4636-a81c-e237145268d4,Reception oscena,Tempi di attesa lunghissimi e personale arrogante.,Reception,negative
192bcd66-d597-47ce-a1fb-c1b560fb07dc,Reception lenta,"Reception lenta e scortese, check-in lungo.",Reception,negative
204514e0-2564-432c-859a-e7e3a4de6064,Disordine all'arrivo,Stanza disordinata e sporca al mio arrivo. Non ci tornerò.,Housekeeping,negative
e3a29119-35f6-4ee7-a2ff-ea116ed758d7,Servizio scadente,Esperienza deludente con lo staff della reception. Non lo consiglierei.,Reception,negative
ee535214-c399-4975-b7cd-ef8f628b3de0,Reception lenta,"Reception lenta e scortese, check-in lungo.",Reception,negative
9cbce85d-30a8-423a-9ff3-3146603b02ba,Servizio pulizie al top,Il personale delle pulizie è stato impeccabile.,Housekeeping,positive
cc803818-7d63-4294-82f7-a80f2b680618,Ristorante lento,Ristorante lento e disorganizzato.,F&B,negative
ca5b2963-58e0-4f2b-85d9-73d6197187cc,Pulizie quotidiane perfette,Pulizie quotidiane accurate e precise.,Housekeeping,positive
dccfd1ee-1b55-4cf3-8e22-12f4dc94e94d,Colazione eccellente,Colazione abbondante e variegata.,F&B,positive
847d5fa8-d300-4012-b1db-8c3d4e46d977,Reception lenta,"Reception lenta e scortese, check-in lungo.",Reception,negative
86d0631f-bf5f-407a-a9f3-1bcbf0865f3f,Ristorante lento,Ristorante lento e disorganizzato.,F&B,negative
dc0d6acc-b10f-4636-b0bd-f549d9c53e7a,Menù vario e gustoso,Menù molto vario e soddisfacente. Che buono.,F&B,positive
f65a5506-8e78-415b-8f17-370cf3d327bf,Cibo pessimo,Il cibo aveva un sapore terribile.,F&B,negative
4ed554be-20e3-4cd3-b63f-c4dc16cb1bf3,Servizio scadente,Esperienza deludente con lo staff della reception. Non lo consiglierei.,Reception,negative
d9bb36f5-dc8b-4bdc-850f-70d9cc4fda77,Scarsa attenzione ai dettagli,Poca attenzione alla pulizia e ai dettagli.,Housekeeping,negative
037b5fb2-c8f3-4aad-97be-d0d6917b786d,Esperienza culinaria negativa,Cibo poco appetibile e mal presentato. Bleah,F&B,negative
c5528737-8aa3-49c5-85b0-fc3f9311053e,Cibo pessimo,Il cibo aveva un sapore terribile.,F&B,negative
a704418f-fc7b-46ac-b153-e59e97038a09,Reception oscena,Tempi di attesa lunghissimi e personale arrogante.,Reception,negative
e991eb5a-8518-4eb8-a7ef-805b2bc40a09,Esperienza culinaria perfetta,"Ottima esperienza culinaria, tutto delizioso.",F&B,positive
6fd98d7a-28e3-4ced-b5fe-e3d49868b78b,Esperienza positiva,"Reception efficiente, check-out senza attese.",Reception,positive
2e793613-a0a2-4094-b760-472c3ff187b4,Bagno sporco,Bagno maleodorante e non pulito. Orrendo!,Housekeeping,negative
12f5c489-4749-464f-b2d2-58427a39d51f,Qualità bassa,Poca scelta e qualità bassa.,F&B,negative
4cb7ec3c-3d58-4311-80e6-1391d055265e,Camera perfettamente curata,"Camera pulita e ordinata, con tutti i comfort. Torneremo volentieri.",Housekeeping,positive
73f1a246-5375-43da-95dd-91a40910fcdb,Cena deliziosa,Cena ottima e servizio rapido.,F&B,positive
373b81bb-7ad8-4958-9de3-99740d4e231b,Reception oscena,Tempi di attesa lunghissimi e personale arrogante.,Reception,negative
3c9e00a8-c46c-4001-8caf-cb5a1f7ae56a,Scarsa attenzione ai dettagli,Poca attenzione alla pulizia e ai dettagli.,Housekeeping,negative
9bf0ca7b-8c84-4a0a-8df7-9cfbd912e270,Scarsa attenzione ai dettagli,Poca attenzione alla pulizia e ai dettagli.,Housekeeping,negative
434190c1-6e48-49cc-817d-38dff2957be5,Bagno sporco,Bagno maleodorante e non pulito. Orrendo!,Housekeeping,negative
d1fb8475-57a2-4de4-a50f-15126145245a,Pulizia buona,"Tutto pulito, ottimo.",Housekeeping,positive
7c15312c-a99c-48e2-b12c-2b3dc5cc923d,Pulizia impeccabile,"Bagno sempre impeccabile, tutto a posto.",Housekeeping,positive
db11248c-9a7d-410a-abf1-f46f4a33c0d6,Pulizia nella media,La stanza era pulita ma il bagno aveva un cattivo odore.,Housekeeping,negative
8bef48f0-950f-4e6e-96ad-5e2fe50a8a6e,Servizio scadente,Esperienza deludente con lo staff della reception. Non lo consiglierei.,Reception,negative
3286ff09-3871-4581-a29b-8126d623c9ad,Reception impeccabile,"Servizio rapido e preciso, ottima esperienza! Torneremo volentieri.",Reception,positive
a8ecedf8-26a9-4799-a145-6a2c4e7dd9aa,Disordine all'arrivo,Stanza disordinata e sporca al mio arrivo. Non ci tornerò.,Housekeeping,negative
